actor,awards,major,media_info,metacritic,score,title,years
Josh Holloway,No Awards,Not Major Role,Video                            100 min                 - Music                 -              23 November 1994(Japan),No Metacritic,7.3,Aerosmith: Big Ones You Can Look at,(1994)
Daniel Dae Kim,No Awards,Major Role,Video Game                         - Action                 -              27 January 2015(USA),No Metacritic,Not yet released,Saints Row: Gat Out of Hell,(2015)
Daniel Dae Kim,No Awards,Major Role,81 min                 - Comedy|Drama,No Metacritic,Not yet released,Ktown Cowboys,(2014)
Daniel Dae Kim,No Awards,Major Role,- Action|Adventure|Sci-Fi                 -              20 March 2015(USA),No Metacritic,Not yet released,Insurgent,(2015)
Daniel Dae Kim,"Nominated for 1 Golden Globe.
Another 6 wins & 14 nominations.

See more awards »",Major Role,TV Series                                 -                                 42 min                 - Action|Crime|Drama,No Metacritic,7.5,Hawaii Five-0,(2010– )
Daniel Dae Kim,"12 wins & 22 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 23 min                 - Animation|Action|Adventure,No Metacritic,8.7,The Legend of Korra,(2012– )
Daniel Dae Kim,"Nominated for 1 Oscar.
Another 6 wins & 16 nominations.

See more awards »",Major Role,137 min                 - Animation|Drama|Fantasy                 -              23 November 2013(Japan),89/100,8.2,The Tale of The Princess Kaguya,(2013)
Daniel Dae Kim,"3 nominations.

See more awards »",Major Role,Video Game                         - Action|Comedy|Sci-Fi                 -              20 August 2013(USA),No Metacritic,8.3,Saints Row IV,(2013)
Daniel Dae Kim,"Nominated for 1 Primetime Emmy.
Another 13 wins & 13 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 43 min                 - Crime|Drama|Mystery,No Metacritic,6.8,NCIS: Los Angeles,(2009– )
Daniel Dae Kim,No Awards,Not Major Role,Video Game                         - Action|Comedy|Crime                 -              15 November 2011(USA),No Metacritic,8.4,Saints Row: The Third,(2011)
Daniel Dae Kim,No Awards,Major Role,Video                            94 min                 - Action|Thriller                 -              11 October 2011(USA),No Metacritic,4.8,Arena,(2011)
Daniel Dae Kim,"1 nomination.

See more awards »",Not Major Role,TV Series                                     - Animation|Action|Adventure,No Metacritic,7.3,G.I. Joe: Renegades,(2010– )
Daniel Dae Kim,"Won 1 Golden Globe.
Another 69 wins & 296 nominations.

See more awards »",Major Role,TV Series                                 -                                 44 min                 - Adventure|Drama|Fantasy,No Metacritic,8.5,Lost,(2004–2010)
Daniel Dae Kim,No Awards,Major Role,Video Game                         - Action|Crime                 -              14 October 2008(USA),No Metacritic,8.2,Saints Row 2,(2008)
Daniel Dae Kim,"Nominated for 1 Primetime Emmy.


See more awards »",Not Major Role,TV Mini-Series                         -                             33 min                 - Drama|Fantasy|Sci-Fi,No Metacritic,8.2,Lost: Missing Pieces,(2007)
Daniel Dae Kim,No Awards,Not Major Role,80 min                 - Comedy                 -              7 January 2008(Brazil),No Metacritic,6.3,The Onion Movie,(2008)
Daniel Dae Kim,"Nominated for 6 Primetime Emmys.
Another 8 nominations.

See more awards »",Major Role,TV Mini-Series                         -                             180 min                 - Romance|Sci-Fi|Thriller,No Metacritic,6.2,The Andromeda Strain,(2008)
Daniel Dae Kim,"1 nomination.

See more awards »",Major Role,Video Game                         - Fantasy                 -              16 October 2007(USA),No Metacritic,8.8,Avatar: The Last Airbender - The Burning Earth,(2007)
Daniel Dae Kim,"1 nomination.

See more awards »",Not Major Role,Video Game                         - Action|Adventure|Crime                 -              October 2006(USA),No Metacritic,8.4,Scarface: The World Is Yours,(2006)
